2023-07-05 22:35:08.137 INFO     :: Связь с AMQP сервером установлена.
2023-07-05 22:35:12.042 INFO     :: Связь с AMQP сервером установлена.
2023-07-05 22:41:21.242 INFO     :: Связь с AMQP сервером установлена.
2023-07-05 22:41:25.335 INFO     :: Связь с AMQP сервером установлена.
2023-07-05 22:41:42.992 INFO     :: Связь с AMQP сервером установлена.
2023-07-05 22:41:46.924 INFO     :: Связь с AMQP сервером установлена.
2023-07-05 22:42:00.113 ERROR    :: В сообщении {'action': 'create', 'data': {'cron': '* * * * *', 'resource': {'resource_name': 'archi competition', 'resource_url': 'https://archi.ru/contests', 'template': {'comp_card': {'lang': 'ru', 'summary': {'selectors': {'xpath': '//article[@class="article1"]/div[@class="text1"]/text()'}, 'constraints': {'required': 'true'}, 'postprocessors': {'prefix': '', 'suffix': ''}}, 'request': {'selectors': {'xpath': '//article[@class="article1"]/header/a/@href'}, 'constraints': {'required': 'true'}}, 'title': {'selectors': {'xpath': '//article[@class="article1"]/header/a/text()'}, 'constraints': {'required': 'true'}}, 'next_page': {'pagination_type': '', 'next_page_link': '', 'parameters': {'curr_page_number': ''}}, 'block_type': 'list'}, 'comp_item': {'meta': {'selectors': {'xpath': "(//td[@class='rec_value_2 border_no'])[3]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'translate': 'en', 'strip': 'true'}}, 'register_date': {'selectors': {'xpath': "(//td[@class='rec_value_1'])[1]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'strip': 'true', 'initial_date_format': '%d.%m.%Y', 'new_date_format': '%Y|%m|%d'}}}}}}} не указан уникальный идентификатор задания.
2023-07-05 22:43:00.070 ERROR    :: В сообщении {'action': 'create', 'data': {'cron': '* * * * *', 'resource': {'resource_name': 'archi competition', 'resource_url': 'https://archi.ru/contests', 'template': {'comp_card': {'lang': 'ru', 'summary': {'selectors': {'xpath': '//article[@class="article1"]/div[@class="text1"]/text()'}, 'constraints': {'required': 'true'}, 'postprocessors': {'prefix': '', 'suffix': ''}}, 'request': {'selectors': {'xpath': '//article[@class="article1"]/header/a/@href'}, 'constraints': {'required': 'true'}}, 'title': {'selectors': {'xpath': '//article[@class="article1"]/header/a/text()'}, 'constraints': {'required': 'true'}}, 'next_page': {'pagination_type': '', 'next_page_link': '', 'parameters': {'curr_page_number': ''}}, 'block_type': 'list'}, 'comp_item': {'meta': {'selectors': {'xpath': "(//td[@class='rec_value_2 border_no'])[3]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'translate': 'en', 'strip': 'true'}}, 'register_date': {'selectors': {'xpath': "(//td[@class='rec_value_1'])[1]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'strip': 'true', 'initial_date_format': '%d.%m.%Y', 'new_date_format': '%Y|%m|%d'}}}}}}} не указан уникальный идентификатор задания.
2023-07-06 14:01:36.732 INFO     :: Connection to amqp://crwl:******@rabbitmq/ closed. Reconnecting after 5 seconds.
2023-07-06 14:01:36.748 ERROR    :: Ошибка связи с брокером: [Errno 111] Connect call failed ('172.18.0.3', 5672)
2023-07-06 14:01:41.798 INFO     :: Связь с AMQP сервером установлена.
2023-07-06 14:01:46.042 INFO     :: Связь с AMQP сервером установлена.
2023-07-06 14:05:00.119 ERROR    :: В сообщении {'action': 'create', 'data': {'cron': '* * * * *', 'resource': {'resource_name': 'archi competition', 'resource_url': 'https://archi.ru/contests', 'template': {'comp_card': {'lang': 'ru', 'summary': {'selectors': {'xpath': '//article[@class="article1"]/div[@class="text1"]/text()'}, 'constraints': {'required': 'true'}, 'postprocessors': {'prefix': '', 'suffix': ''}}, 'request': {'selectors': {'xpath': '//article[@class="article1"]/header/a/@href'}, 'constraints': {'required': 'true'}}, 'title': {'selectors': {'xpath': '//article[@class="article1"]/header/a/text()'}, 'constraints': {'required': 'true'}}, 'next_page': {'pagination_type': '', 'next_page_link': '', 'parameters': {'curr_page_number': ''}}, 'block_type': 'list'}, 'comp_item': {'meta': {'selectors': {'xpath': "(//td[@class='rec_value_2 border_no'])[3]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'translate': 'en', 'strip': 'true'}}, 'register_date': {'selectors': {'xpath': "(//td[@class='rec_value_1'])[1]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'strip': 'true', 'initial_date_format': '%d.%m.%Y', 'new_date_format': '%Y|%m|%d'}}}}}}} не указан уникальный идентификатор задания.
2023-07-06 14:06:00.215 ERROR    :: В сообщении {'action': 'create', 'data': {'cron': '* * * * *', 'resource': {'resource_name': 'archi competition', 'resource_url': 'https://archi.ru/contests', 'template': {'comp_card': {'lang': 'ru', 'summary': {'selectors': {'xpath': '//article[@class="article1"]/div[@class="text1"]/text()'}, 'constraints': {'required': 'true'}, 'postprocessors': {'prefix': '', 'suffix': ''}}, 'request': {'selectors': {'xpath': '//article[@class="article1"]/header/a/@href'}, 'constraints': {'required': 'true'}}, 'title': {'selectors': {'xpath': '//article[@class="article1"]/header/a/text()'}, 'constraints': {'required': 'true'}}, 'next_page': {'pagination_type': '', 'next_page_link': '', 'parameters': {'curr_page_number': ''}}, 'block_type': 'list'}, 'comp_item': {'meta': {'selectors': {'xpath': "(//td[@class='rec_value_2 border_no'])[3]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'translate': 'en', 'strip': 'true'}}, 'register_date': {'selectors': {'xpath': "(//td[@class='rec_value_1'])[1]/text()"}, 'constraints': {'required': 'true', 'type': 'list'}, 'postprocessors': {'strip': 'true', 'initial_date_format': '%d.%m.%Y', 'new_date_format': '%Y|%m|%d'}}}}}}} не указан уникальный идентификатор задания.
